prime_minister,birth_year,death_year,years_lived
Henry Sewell,1807,1879,72
William Fox,1812,1893,81
Edward Stafford,1819,1901,82
Alfred Domett,1811,1887,76
Frederick Whitaker,1812,1891,79
Frederick Weld,1823,1891,68
George Waterhouse,1824,1906,82
Julius Vogel,1835,1899,64
Daniel Pollen,1813,1896,83
Harry Atkinson,1831,1892,61
George Grey,1812,1898,86
John Hall,1824,1907,83
Robert Stout,1844,1930,86
John Ballance,1839,1893,54
Richard Seddon,1845,1906,61
William Hall-Jones,1851,1936,85
Joseph Ward,1856,1930,74
Thomas Mackenzie,1853,1930,77
William Massey,1856,1925,69
Francis Bell,1851,1936,85
Gordon Coates,1878,1943,65
George Forbes,1869,1947,78
Michael Joseph Savage,1872,1940,68
Peter Fraser,1884,1950,66
Sidney Holland,1893,1961,68
Keith Holyoake,1904,1983,79
Walter Nash,1882,1968,86
Jack Marshall,1912,1988,76
Norman Kirk,1923,1974,51
Hugh Watt,1912,1980,68
Bill Rowling,1927,1995,68
Robert Muldoon,1921,1992,71
David Lange,1942,2005,63
Geoffrey Palmer,1942,NA,NA
Mike Moore,1949,2020,71
Jim Bolger,1935,NA,NA
Dame Jenny Shipley,1952,NA,NA
Helen Clark,1950,NA,NA
John Key,1961,NA,NA
Bill English,1961,NA,NA
Dame Jacinda Ardern,1980,NA,NA
Chris Hipkins,1978,NA,NA
Christopher Luxon,1970,NA,NA
